,Unnamed: 0,tweet_ids,tweets text,created_at,like_count,retweet_count,userid,user_mentions,toenglish,sentiment
0,0,1785039204625391791,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,2024-04-29 20:11:25+00:00,0,7,3317997235,the_hindu,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,Neutral
3,3,1784919071055810975,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 12:14:03+00:00,0,6,829463784519528448,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
4,4,1784907612640977184,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",2024-04-29 11:28:31+00:00,0,2,2789578117,Outlookindia,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",Negative
5,5,1784905075887939714,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,2024-04-29 11:18:26+00:00,0,7,1677368584392282115,the_hindu,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,Neutral
6,6,1784904896577454152,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",2024-04-29 11:17:43+00:00,0,2,54516759,Outlookindia,"RT @Outlookindia: In a major development, #Congress candidate from #MadhyaPradesh's Indore #LokSabha seat Akshay Kanti Bam withdrew his can…",Negative
8,8,1784903366847717678,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 11:11:39+00:00,0,6,916210505282314240,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did a dirty drain start flowing in the river of Bodh Gaya where Gangajal was supposed to come?

Interestingly, the #NDA candidate from this Gaya #LokSabha seat…",Negative
9,9,1784903073682317683,"RT @aajtak: Lok Sabha Election Phase 2 Voting: रविंद्र भाटी, शशि थरूर, नवनीत राणा, अरुण गोविल और पप्पू यादव की सीटों पर वोटिंग जारी, देखिए…",2024-04-29 11:10:29+00:00,0,6,829085554276851712,aajtak,"RT @aajtak: Lok Sabha Election Phase 2 Voting: Voting continues on the seats of Ravindra Bhati, Shashi Tharoor, Navneet Rana, Arun Govil and Pappu Yadav, see…",Neutral
10,10,1784901095170728107,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 11:02:37+00:00,0,6,1547587856260300806,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
11,11,1784900464414183872,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 11:00:07+00:00,0,6,466623075,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
12,12,1784897983105942004,"RT @DeccanHerald: Women constituted only eight per cent of the total 1,618 candidates in the first two phases of the #LokSabha polls, with…",2024-04-29 10:50:15+00:00,0,1,80876514,DeccanHerald,"RT @DeccanHerald: Women constituted only eight per cent of the total 1,618 candidates in the first two phases of the #LokSabha polls, with…",Neutral
13,13,1784897715513524466,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 10:49:11+00:00,0,6,793264992,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
17,17,1784868882835964082,"RT @fpjindia: #LokSabha #Elections 2024: #DefenceMinister #RajnathSingh Files #Nomination From #Lucknow
https://t.co/7DYGn32ic6",2024-04-29 08:54:37+00:00,0,1,54516759,fpjindia,"RT @fpjindia: #LokSabha #Elections 2024: #DefenceMinister #RajnathSingh Files #Nomination From #Lucknow
https://t.co/7DYGn32ic6",Neutral
18,18,1784868596134342687,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,2024-04-29 08:53:29+00:00,0,7,54516759,the_hindu,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,Neutral
